inst_78764,machine_1
inst_23406,machine_2
inst_41067,machine_3
inst_42561,machine_4
inst_48054,machine_5
inst_67984,machine_6
inst_6897,machine_7
inst_85306,machine_8
inst_79435,machine_9
inst_41179,machine_10
inst_17050,machine_11
inst_82166,machine_12
inst_58874,machine_13
inst_54603,machine_14
inst_1330,machine_15
inst_36937,machine_16
inst_50428,machine_17
inst_21324,machine_18
inst_13043,machine_18
inst_1651,machine_19
inst_61323,machine_19
inst_6114,machine_20
inst_584,machine_20
inst_88862,machine_21
inst_84429,machine_21
inst_68456,machine_22
inst_47234,machine_22
inst_59725,machine_23
inst_72504,machine_23
inst_86529,machine_24
inst_67214,machine_24
inst_5300,machine_25
inst_43003,machine_25
inst_10342,machine_26
inst_72828,machine_26
inst_54268,machine_27
inst_92623,machine_27
inst_31376,machine_28
inst_20334,machine_28
inst_78824,machine_29
inst_98129,machine_29
inst_55790,machine_30
inst_73530,machine_30
inst_35949,machine_31
inst_25271,machine_31
inst_7677,machine_32
inst_85174,machine_32
inst_71227,machine_33
inst_43520,machine_33
inst_14453,machine_34
inst_74876,machine_34
inst_15387,machine_35
inst_72906,machine_35
inst_18725,machine_36
inst_63000,machine_36
inst_63564,machine_37
inst_30871,machine_37
inst_89969,machine_38
inst_17379,machine_38
inst_66856,machine_39
inst_25942,machine_39
inst_26116,machine_40
inst_55056,machine_40
inst_8640,machine_41
inst_365,machine_41
inst_88155,machine_42
inst_45149,machine_42
inst_42333,machine_43
inst_66194,machine_43
inst_35086,machine_44
inst_30939,machine_44
inst_52272,machine_45
inst_88213,machine_45
inst_10257,machine_46
inst_37129,machine_46
inst_87350,machine_47
inst_97759,machine_47
inst_44033,machine_48
inst_64927,machine_48
inst_99609,machine_49
inst_10794,machine_49
inst_27538,machine_50
inst_38199,machine_50
inst_79479,machine_51
inst_76996,machine_51
inst_61208,machine_52
inst_96241,machine_52
inst_86716,machine_53
inst_93703,machine_53
inst_18437,machine_54
inst_76775,machine_54
inst_89644,machine_55
inst_25944,machine_55
inst_73764,machine_56
inst_64276,machine_56
inst_78698,machine_57
inst_78463,machine_57
inst_36587,machine_58
inst_67971,machine_58
inst_92712,machine_59
inst_17753,machine_59
inst_84593,machine_60
inst_41026,machine_60
inst_56898,machine_61
inst_88713,machine_61
inst_76579,machine_62
inst_53810,machine_62
inst_40544,machine_63
inst_15441,machine_63
inst_74858,machine_64
inst_90490,machine_64
inst_49177,machine_65
